cart,Record Count
"{""cake"":[{""count"":""8"",""price"":1660,""quantity"":1,""id"":""rqjas2s5kug"",""BANANA NUTELLA"":1,""VERY BERRY BASQUE CHEESECAKE"":1,""CARROT CREAM CHEESE"":1,""CHOCOLATE PUDDING"":1,""YOUNG COCONUT CAKE"":1,""FERRERO CHOCOLATE TART"":1,""STRAWBERRY KISS"":1,""BLACKOUT CHOCOLATE CAKE"":1,""extra"":"""",""title"":""Large box of 8""}]}",1
"{""banana-2lb#dearest"":1}",1
"{""ferrero-1lb#extraferrero"":1}",1
"{""cereal"":5,""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""uevp3xl0lfg"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":4,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1
"{""salt"":1,""redvelvet"":1,""hella"":1}",1
"{""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""epharmw8799"",""BAE BROWNIE"":8,""FUDGE BROWNIE BITES"":10,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Double box of 18""},{""count"":""9"",""price"":360,""quantity"":1,""id"":""fpmrlugd9cw"",""BAE BROWNIE"":4,""FUDGE BROWNIE BITES"":5,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Small box of 9""}]}",1
"{""hella"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""4g1g5d44kos"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":9,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Small box of 9""}]}",1
"{""banultimate~s"":1,""bannutella~s"":1,""bancheese~s"":1,""cereal"":1,""candy"":1}",1
"{""pbj"":5,""cupc"":5,""salt"":5,""deathchoc"":5,""redvelvet"":5,""hella"":5}",1
"{""deathcake"":1,""cupc"":1,""banultimate~s"":1}",1
