datetime,cart,Record Count,total_price
"Jun 19, 2021","{""chocpudding-2lb"":1,""cupc"":1}",1,3269
"Jun 19, 2021","{""hella"":2,""salt"":1,""deathchoc"":1}",1,663
"Jun 19, 2021","{""cookie"":[{""count"":""12"",""price"":990,""quantity"":1,""id"":""5625acm5tu8"",""BABY OG"":2,""CORNFLAKE MARSHMALLOW"":2,""DOUBLE TROUBLE"":1,""MAMA OG"":2,""MATCHA POWWOW"":2,""SEXY BACK"":2,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Large box of 12""},{""count"":""5"",""price"":450,""quantity"":3,""id"":""9grxq5hck8h"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":0,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""},{""count"":""5"",""price"":450,""quantity"":3,""id"":""5bx8zps8uyy"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":1,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1,3690
"Jun 19, 2021","{""hella"":1}",1,290
"Jun 19, 2021","{""loveislove&sexyback,mamaog,cereal"":1}",1,866
"Jun 19, 2021","{""cake"":[{""count"":""8"",""price"":1640,""quantity"":1,""id"":""dwbmed1x6ae"",""BANANA NUTELLA"":2,""VERY BERRY BASQUE CHEESECAKE"":1,""CARROT CREAM CHEESE"":0,""CHOCOLATE PUDDING"":2,""YOUNG COCONUT CAKE"":1,""FERRERO CHOCOLATE TART"":0,""STRAWBERRY KISS"":1,""BLACKOUT CHOCOLATE CAKE"":1,""extra"":"""",""title"":""Large box of 8""}]}",1,1875
"Jun 19, 2021","{""cereal"":2}",1,340
"Jun 19, 2021","{""cupc"":1,""hella"":1,""deathchoc"":1}",1,561
"Jun 19, 2021","{""hella"":2,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""0cluky239ipo"",""BAE BROWNIE"":2,""FUDGE BROWNIE BITES"":2,""RED VELVET CREAM CHEESE BROWNIE BITES"":5,""extra"":"""",""title"":""Small box of 9""}]}",1,653
"Jun 19, 2021","{""hella"":1,""cupc"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""ipxnwerv9pm"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}]}",1,717
"Jun 19, 2021","{""cookie"":[{""count"":""12"",""price"":990,""quantity"":1,""id"":""zvo8tp60y5b"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":2,""DOUBLE TROUBLE"":2,""MAMA OG"":2,""MATCHA POWWOW"":2,""SEXY BACK"":1,""TRIPLE C"":2,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Large box of 12""}]}",1,990
"Jun 19, 2021","{""loveislove&sexyback,triplec,cornflakes,babyog,cereal,candy"":1}",1,698
"Jun 19, 2021","{""giftboxbrownie"":[{""count"":""8"",""price"":520,""quantity"":1,""id"":""93nermzij2k"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":2,""extra"":"""",""title"":""Large box of 8""}]}",1,589
"Jun 19, 2021","{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""8wt2k30g5ge"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}]}",1,424
"Jun 19, 2021","{""salt"":1,""cupc"":1,""cereal"":1}",1,430
"Jun 19, 2021","{""kiss-1lb"":1,""custom"":[{""title"":""แถม double trouble 1 ชิ้น"",""price"":0,""quantity"":1,""id"":""9rwv6bnp5go""}]}",1,2125
"Jun 19, 2021","{""ferrero_slice"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""7u27yu3u7va"",""BAE BROWNIE"":5,""FUDGE BROWNIE BITES"":4,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Small box of 9""}]}",1,645
