cart,Record Count
"{""giftboxloaf"":[{""count"":""4"",""price"":740,""quantity"":1,""id"":""l7qaamo4t3"",""DEATH BY CHOCOLATE PUDDING CAKE"":0,""BANANA CHEESE"":1,""BANANA NUTELLA "":1,""BANANA ULTIMATE COMBO"":1,""BANANA GOES NUTS"":1,""BANANA OG"":0,""MAYONGCHID CHEESEPIE"":0,""extra"":"""",""title"":""Large box of 4""}]}",1
"{""blackout_slice"":1}",1
"{""brownie"":[{""count"":""9"",""price"":360,""quantity"":2,""id"":""dm2wagzrd8c"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}],""bannuts~s"":1}",1
"{""custom"":[{""title"":""เค้ก2ชั้น​  chocolate​ pudding​ทั้ง2ชั้น​ ตกแต่ง​Lady​ in​ pink​ with​ flower​ สีฟ้า"",""price"":4500,""quantity"":1,""id"":""119qwvbvptm""}]}",1
"{""hella"":1,""redvelvet"":1,""mayong~s"":1}",1
"{""bancheese~s"":0,""bancheese~l"":0,""bannutella~s"":1}",1
"{""mayong~s"":0,""soft"":[{""count"":""0"",""price"":90,""quantity"":1,""id"":""ee48nnlqxve"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Soft cookies""}]}",1
"{""custom"":[{""title"":""Mama og"",""price"":90,""quantity"":10,""id"":""qqt7qy2ktcl""},{""title"":""Double trouble"",""price"":90,""quantity"":10,""id"":""ztgckq2mvf""},{""title"":""Triple c"",""price"":90,""quantity"":10,""id"":""53g9joqu9wu""},{""title"":""Baby og"",""price"":90,""quantity"":20,""id"":""xtflm9yv31i""},{""title"":""Sexy back"",""price"":90,""quantity"":10,""id"":""uaxatnl06i""}]}",1
"{""pbj"":1,""cupc"":1,""salt"":1,""deathchoc"":1,""redvelvet"":1,""hella"":1}",1
"{""cupc"":2,""redvelvet"":2,""salt"":1}",1
"{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""vlx9kmsj30a"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":2,""MATCHA POWWOW"":0,""SEXY BACK"":2,""TRIPLE C"":0,""extra"":"""",""title"":""Small box of 5""}],""deathchoc"":3,""brownie"":[{""count"":""18"",""price"":640,""quantity"":2,""id"":""ouqezirwoi"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""extra"":"""",""title"":""Double box of 18""}]}",1
"{""custom"":[{""title"":""Banana Nutella ตกแต่ง Lady in Pink สีชมพู"",""price"":2800,""quantity"":1,""id"":""k7lh8f5f9p""}],""bancheese~l"":1}",1
"{""ladypink-3lb&kiss,ganache.blue"":1}",1
"{""kiss-1lb"":1,""mayong~l"":1}",1
"{""salt"":1,""redvelvet"":1,""bancheese~s"":3,""bannuts~s"":0,""bannutella~s"":3}",1
"{""custom"":[{""title"":""Chocolate Pudding 1 ปอนด์ ตกแต่ง Lady in Pink สีชมพูเข้ม "",""price"":1800,""quantity"":1,""id"":""dr9fajxmq7j""}]}",1
"{""carrot-1lb#flower"":1}",1
"{""coconut-1lb#dearest"":1}",1
"{""mayong-1lb"":1,""banultimate~s"":1,""bannuts~s"":1}",1
"{""redvelvet"":1,""salt"":1,""deathchoc"":1,""cupc"":1,""pbj"":1}",1
"{""pbj"":1,""kiss_slice"":1,""bannutella~s"":0,""banana_slice"":1}",1
"{""cupc"":2,""hella"":1,""mayong~s"":3}",1
"{""mayong-2lb"":1}",1
"{""hella"":1}",1
"{""mayong~s"":1,""bancheese~s"":1}",1
"{""pbj"":1,""bancheese~l"":0,""bancheese~s"":2,""bannutella~s"":1}",1
"{""soft"":[{""count"":""0"",""price"":180,""quantity"":1,""id"":""1ph5vb3sqwg"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Soft cookies""}]}",1
