datetime,cart,Record Count,total_price
"May 29, 2021, 9:05:22 AM","{""cupc"":1,""babyog"":1,""mamaog"":1}",1,330
"May 29, 2021, 9:05:09 AM","{""hella"":1,""matcha"":1,""babyog"":1,""pbj"":1}",1,480
"May 29, 2021, 9:04:49 AM","{""hella"":1}",1,150
"May 29, 2021, 9:04:40 AM","{""matcha"":1,""doubletrouble"":1}",1,180
"May 29, 2021, 8:31:39 AM","{""matcha"":2}",1,180
"May 29, 2021, 8:26:18 AM","{""salt"":1}",1,150
"May 29, 2021, 8:15:14 AM","{""mamaog"":1}",1,90
"May 29, 2021, 8:14:19 AM","{""hella"":1}",1,150
"May 29, 2021, 8:08:46 AM","{""doubletrouble"":1}",1,90
"May 29, 2021, 8:08:24 AM","{""doubletrouble"":1,""hella"":1}",1,240
"May 29, 2021, 8:07:50 AM","{""doubletrouble"":2,""mamaog"":2,""triplec"":1}",1,450
"May 29, 2021, 8:07:12 AM","{""triplec"":1,""mamaog"":1,""banultimate~s"":1}",1,310
"May 29, 2021, 7:52:54 AM","{""salt"":2}",1,300
"May 29, 2021, 7:47:42 AM","{""sexyback"":2,""mamaog"":1,""babyog"":1,""cornflakes"":1}",1,450
"May 29, 2021, 7:47:08 AM","{""cupc"":1}",1,150
"May 29, 2021, 7:40:45 AM","{""cupc"":1,""pbj"":1,""sexyback"":1}",1,390
"May 29, 2021, 7:31:54 AM","{""mamaog"":1}",1,90
"May 29, 2021, 7:27:52 AM","{""pbj"":1}",1,150
"May 29, 2021, 7:24:36 AM","{""mamaog"":1}",1,90
"May 29, 2021, 7:24:06 AM","{""babyog"":1,""mamaog"":1,""matcha"":1,""sexyback"":2}",1,450
"May 29, 2021, 7:18:51 AM","{""redvelvet"":1}",1,150
"May 29, 2021, 7:18:43 AM","{""redbrownie"":6,""fudge"":3,""salt"":1}",1,510
"May 29, 2021, 7:15:43 AM","{""mamaog"":1,""doubletrouble"":1}",1,180
"May 29, 2021, 7:15:15 AM","{""salt"":1,""matcha"":1}",1,240
"May 29, 2021, 7:07:24 AM","{""doubletrouble"":1,""banultimate~s"":1}",1,220
"May 29, 2021, 7:00:29 AM","{""mamaog"":1,""sexyback"":1,""bae"":3,""redbrownie"":3,""fudge"":3}",1,540
"May 29, 2021, 6:47:48 AM","{""bae"":3,""redbrownie"":3,""fudge"":3,""banog~s"":1}",1,490
"May 29, 2021, 6:39:45 AM","{""deathchoc"":1,""cupc"":1}",1,300
"May 29, 2021, 6:31:16 AM","{""mamaog"":3,""doubletrouble"":3,""sexyback"":3,""babyog"":1,""triplec"":1,""cornflakes"":1}",1,990
"May 29, 2021, 6:30:20 AM","{""cereal"":3,""matcha"":3,""sexyback"":3,""cornflakes"":3,""babyog"":1,""doubletrouble"":1,""mamaog"":1}",1,1380
"May 29, 2021, 6:24:53 AM","{""cupc"":1}",1,150
"May 29, 2021, 6:18:37 AM","{""mamaog"":3,""doubletrouble"":3,""salt"":1}",1,690
"May 29, 2021, 6:17:30 AM","{""hella"":1,""banultimate~s"":1}",1,280
"May 29, 2021, 6:08:05 AM","{""cupc"":1,""banog~s"":1,""babyog"":2,""doubletrouble"":2,""matcha"":1,""bae"":3,""redbrownie"":3,""fudge"":3,""bancheese~s"":1,""deathchoc"":2,""bannuts~s"":2}",1,1800
"May 29, 2021, 6:06:43 AM","{""doubletrouble"":1}",1,90
"May 29, 2021, 6:06:27 AM","{""cupc"":1}",1,150
"May 29, 2021, 5:59:07 AM","{""bae"":1,""redbrownie"":1,""fudge"":1}",1,120
"May 29, 2021, 5:58:06 AM","{""bannutella~s"":1,""mamaog"":1}",1,220
"May 29, 2021, 5:40:57 AM","{""cupc"":1,""pbj"":1}",1,300
"May 29, 2021, 5:31:02 AM","{""pbj"":1,""bae"":3,""redbrownie"":3,""fudge"":3}",1,510
"May 29, 2021, 5:30:01 AM","{""pbj"":1,""hella"":1}",1,300
"May 29, 2021, 5:09:34 AM","{""cupc"":1,""pbj"":1,""bancheese~s"":1,""banultimate~s"":1}",1,580
"May 29, 2021, 5:06:59 AM","{""redvelvet"":1,""sexyback"":1,""cornflakes"":1}",1,330
"May 29, 2021, 4:58:35 AM","{""cereal"":1,""bae"":1,""fudge"":1}",1,210
"May 29, 2021, 4:50:03 AM","{""banultimate~s"":1}",1,130
"May 29, 2021, 4:49:37 AM","{""mamaog"":1,""sexyback"":1}",1,180
"May 29, 2021, 4:40:09 AM","{""hella"":1,""cupc"":1}",1,300
"May 29, 2021, 4:40:01 AM","{""matcha"":1,""doubletrouble"":2,""mamaog"":2,""deathchoc"":2}",1,750
"May 29, 2021, 4:17:53 AM","{""redvelvet"":1,""mamaog"":1}",1,240
"May 29, 2021, 3:44:01 AM","{""deathchoc"":1}",1,150
"May 29, 2021, 3:23:35 AM","{""bae"":3,""redbrownie"":3,""fudge"":3}",1,360
"May 29, 2021, 3:23:08 AM","{""matcha"":1}",1,90
"May 29, 2021, 3:23:03 AM","{""mamaog"":2}",1,180
"May 29, 2021, 3:22:54 AM","{""doubletrouble"":1,""mamaog"":1}",1,180
"May 29, 2021, 3:11:15 AM","{""redvelvet"":1,""sexyback"":1}",1,240
"May 28, 2021, 1:26:57 PM","{""bancheese~s"":1,""banog~s"":1,""doubletrouble"":1,""mamaog"":1,""cornflakes"":1,""triplec"":0}",1,550
"May 28, 2021, 1:19:13 PM","{""babyog"":1}",1,90
"May 28, 2021, 1:11:29 PM","{""bae"":3,""redbrownie"":3,""fudge"":3}",1,360
"May 28, 2021, 1:11:08 PM","{""sexyback"":2}",1,180
"May 28, 2021, 12:50:00 PM","{""banultimate~s"":1,""pbj"":1}",1,280
"May 28, 2021, 12:42:46 PM","{""sexyback"":1}",1,90
"May 28, 2021, 12:38:14 PM","{""doubletrouble"":2,""triplec"":1}",1,270
"May 28, 2021, 12:34:05 PM","{""mamaog"":1,""sexyback"":1}",1,180
"May 28, 2021, 12:25:18 PM","{""bannutella~s"":2}",1,260
"May 28, 2021, 11:49:13 AM","{""pbj"":1,""hella"":1}",1,300
"May 28, 2021, 11:45:09 AM","{""hella"":2,""deathchoc"":2,""redvelvet"":1}",1,750
"May 28, 2021, 11:23:00 AM","{""bannutella~s"":1}",1,130
"May 28, 2021, 11:19:32 AM","{""mamaog"":1,""sexyback"":1,""triplec"":1}",1,270
"May 28, 2021, 11:13:58 AM","{""pbj"":1,""cupc"":1,""hella"":1}",1,450
"May 28, 2021, 11:06:46 AM","{""matcha"":2,""mamaog"":1,""babyog"":1,""sexyback"":1,""cornflakes"":2}",1,630
"May 28, 2021, 11:05:44 AM","{""banog~s"":2}",1,260
"May 28, 2021, 11:04:34 AM","{""salt"":1}",1,150
"May 28, 2021, 11:04:25 AM","{""redvelvet"":1,""cornflakes"":1,""mamaog"":1}",1,330
"May 28, 2021, 10:50:45 AM","{""bae"":5,""fudge"":4}",1,360
"May 28, 2021, 10:44:19 AM","{""bae"":3,""redbrownie"":3,""fudge"":3}",1,360
"May 28, 2021, 10:43:13 AM","{""deathchoc"":1,""redvelvet"":1,""pbj"":1,""matcha"":1,""salt"":1,""sexyback"":1}",1,780
"May 28, 2021, 10:42:58 AM","{""deathchoc"":1}",1,150
"May 28, 2021, 10:34:33 AM","{""mamaog"":1,""banog~s"":1}",1,220
"May 28, 2021, 10:32:05 AM","{""salt"":1}",1,150
"May 28, 2021, 10:05:09 AM","{""cupc"":1}",1,150
"May 28, 2021, 9:50:09 AM","{""redvelvet"":1,""sexyback"":1,""bancheese~s"":1}",1,390
"May 28, 2021, 9:39:19 AM","{""doubletrouble"":1,""mamaog"":1}",1,180
"May 28, 2021, 9:37:15 AM","{""sexyback"":1,""redvelvet"":1}",1,240
"May 28, 2021, 9:30:12 AM","{""salt"":1,""sexyback"":1}",1,240
"May 28, 2021, 9:22:47 AM","{""cupc"":1}",1,150
"May 28, 2021, 9:12:36 AM","{""pbj"":1}",1,150
"May 28, 2021, 9:06:43 AM","{""bannutella~s"":1,""bancheese~s"":1}",1,280
"May 28, 2021, 9:05:20 AM","{""hella"":2}",1,300
"May 28, 2021, 9:03:05 AM","{""mamaog"":1}",1,90
"May 28, 2021, 8:42:36 AM","{""hella"":1,""cupc"":1,""deathchoc"":1,""pbj"":1}",1,600
"May 28, 2021, 8:33:27 AM","{""salt"":1,""matcha"":1}",1,240
"May 28, 2021, 8:33:26 AM","{""bae"":3,""redbrownie"":3,""fudge"":3}",1,360
"May 28, 2021, 8:33:10 AM","{""bae"":6,""redbrownie"":6,""fudge"":7,""babyog"":1,""mamaog"":1,""sexyback"":1,""doubletrouble"":1,""cornflakes"":1}",1,1130
"May 28, 2021, 8:16:08 AM","{""doubletrouble"":2,""mamaog"":1,""matcha"":1,""cornflakes"":1}",1,450
"May 28, 2021, 8:10:48 AM","{""triplec"":1,""babyog"":1}",1,180
"May 28, 2021, 8:05:44 AM","{""babyog"":2}",1,180
"May 28, 2021, 7:53:42 AM","{""sexyback"":1,""mamaog"":1}",1,180
"May 28, 2021, 7:53:36 AM","{""sexyback"":1,""redvelvet"":1}",1,240
"May 28, 2021, 7:44:54 AM","{""matcha"":1,""sexyback"":1}",1,180
"May 28, 2021, 7:20:09 AM","{""hella"":1,""mamaog"":1,""cupc"":2,""doubletrouble"":1}",1,630
"May 28, 2021, 7:17:51 AM","{""sexyback"":1}",1,90
"May 28, 2021, 6:50:37 AM","{""deathchoc"":1,""matcha"":2,""triplec"":2,""doubletrouble"":1}",1,600
"May 28, 2021, 6:42:29 AM","{""cupc"":1,""deathchoc"":1}",1,300
"May 28, 2021, 6:27:59 AM","{""bae"":3,""redbrownie"":3,""fudge"":3,""hella"":1,""cupc"":1}",1,660
"May 28, 2021, 6:17:52 AM","{""sexyback"":1}",1,90
"May 28, 2021, 6:17:47 AM","{""mamaog"":1,""doubletrouble"":1,""babyog"":1,""triplec"":1,""sexyback"":1}",1,450
"May 28, 2021, 6:05:24 AM","{""triplec"":1,""doubletrouble"":1,""salt"":1}",1,330
"May 28, 2021, 6:01:14 AM","{""sexyback"":1}",1,90
"May 28, 2021, 5:33:52 AM","{""cornflakes"":2,""babyog"":1}",1,270
"May 28, 2021, 5:09:27 AM","{""cereal"":5}",1,650
"May 28, 2021, 5:02:06 AM","{""hella"":1,""deathchoc"":1,""pbj"":1,""salt"":1}",1,600
"May 28, 2021, 4:52:52 AM","{""deathchoc"":1,""cupc"":1,""salt"":1,""cornflakes"":1,""doubletrouble"":4}",1,900
"May 28, 2021, 4:48:40 AM","{""matcha"":1,""sexyback"":1,""triplec"":1,""cornflakes"":1,""mamaog"":1,""bae"":2,""redbrownie"":2,""fudge"":5}",1,810
"May 28, 2021, 4:39:03 AM","{""hella"":2,""cupc"":1,""bae"":3,""redbrownie"":2,""fudge"":4,""babyog"":1,""cornflakes"":1,""mamaog"":1,""sexyback"":1,""triplec"":1}",1,1260
"May 28, 2021, 4:37:45 AM","{""pbj"":1}",1,150
"May 28, 2021, 4:37:39 AM","{""triplec"":2,""cornflakes"":1,""doubletrouble"":1}",1,360
"May 28, 2021, 4:26:52 AM","{""bancheese~s"":2,""banultimate~s"":1}",1,430
"May 28, 2021, 4:07:18 AM","{""deathchoc"":1,""salt"":1}",1,300
"May 28, 2021, 3:12:55 AM","{""mamaog"":3,""babyog"":1,""sexyback"":1,""bae"":6,""redbrownie"":6,""fudge"":6}",1,1090
"May 27, 2021, 12:57:26 PM","{""mamaog"":1}",1,90
"May 27, 2021, 12:55:55 PM","{""banultimate~s"":1,""bae"":9}",1,490
"May 27, 2021, 12:37:33 PM","{""mamaog"":1,""sexyback"":1}",1,180
"May 27, 2021, 12:18:20 PM","{""redvelvet"":1}",1,150
"May 27, 2021, 12:17:17 PM","{""hella"":1}",1,150
"May 27, 2021, 12:13:12 PM","{""redvelvet"":1}",1,150
"May 27, 2021, 12:08:09 PM","{""doubletrouble"":1,""sexyback"":1,""matcha"":1,""mamaog"":1,""cornflakes"":1}",1,450
"May 27, 2021, 12:04:39 PM","{""hella"":1,""pbj"":1,""cupc"":1,""matcha"":2}",1,630
"May 27, 2021, 11:51:37 AM","{""pbj"":1}",1,150
"May 27, 2021, 11:31:13 AM","{""cornflakes"":1}",1,90
"May 27, 2021, 11:27:09 AM","{""bancheese~s"":1,""bannutella~s"":1,""doubletrouble"":1}",1,370
"May 27, 2021, 11:16:46 AM","{""bae"":3,""redbrownie"":3,""fudge"":3}",1,360
"May 27, 2021, 11:07:37 AM","{""hella"":1,""salt"":2,""babyog"":1,""sexyback"":1}",1,630
"May 27, 2021, 11:05:39 AM","{""bae"":1,""redbrownie"":1,""fudge"":2}",1,160
"May 27, 2021, 11:01:04 AM","{""deathchoc"":0,""redvelvet"":2,""bae"":9,""triplec"":1,""sexyback"":1,""cornflakes"":1,""babyog"":1,""doubletrouble"":1,""hella"":1}",1,1260
"May 27, 2021, 10:52:36 AM","{""matcha"":1}",1,90
"May 27, 2021, 10:44:45 AM","{""sexyback"":1,""matcha"":1,""triplec"":1}",1,270
"May 27, 2021, 10:33:13 AM","{""sexyback"":1,""triplec"":1}",1,180
"May 27, 2021, 10:33:05 AM","{""cupc"":2}",1,300
"May 27, 2021, 10:32:57 AM","{""redbrownie"":1,""fudge"":1,""cornflakes"":2}",1,260
"May 27, 2021, 9:29:59 AM","{""doubletrouble"":2,""mamaog"":1,""sexyback"":1}",1,360
"May 27, 2021, 9:16:59 AM","{""deathchoc"":1}",1,150
"May 27, 2021, 8:46:26 AM","{""doubletrouble"":3,""triplec"":2}",1,450
"May 27, 2021, 8:46:11 AM","{""cupc"":1,""pbj"":1}",1,300
"May 27, 2021, 8:33:11 AM","{""doubletrouble"":1,""babyog"":1,""triplec"":1,""sexyback"":1,""cornflakes"":1}",1,450
"May 27, 2021, 8:25:43 AM","{""babyog"":2,""matcha"":1,""deathchoc"":1,""cupc"":1,""redbrownie"":1}",1,610
"May 27, 2021, 8:17:06 AM","{""mamaog"":1,""sexyback"":1,""triplec"":1,""doubletrouble"":1}",1,360
"May 27, 2021, 8:06:48 AM","{""fudge"":6,""redbrownie"":3}",1,360
"May 27, 2021, 8:06:44 AM","{""mamaog"":2,""doubletrouble"":1}",1,270
